"","features","fold"
"1","F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope","1"
"2","F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope","1"
"3","F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope","1"
"4","loudness_sma3_stddevNorm","1"
"5","loudness_sma3_stddevRisingSlope","1"
"6","loudness_sma3_stddevFallingSlope","1"
"7","mfcc2_sma3_amean","1"
"8","mfcc3_sma3_amean","1"
"9","shimmerLocaldB_sma3nz_amean","1"
"10","shimmerLocaldB_sma3nz_stddevNorm","1"
"11","HNRdBACF_sma3nz_amean","1"
"12","HNRdBACF_sma3nz_stddevNorm","1"
"13","F3frequency_sma3nz_stddevNorm","1"
"14","F3bandwidth_sma3nz_stddevNorm","1"
"15","spectralFluxV_sma3nz_stddevNorm","1"
"16","mfcc2V_sma3nz_amean","1"
"17","alphaRatioUV_sma3nz_amean","1"
"18","hammarbergIndexUV_sma3nz_amean","1"
"19","slopeUV0-500_sma3nz_amean","1"
"20","VoicedSegmentsPerSec","1"
"21","MeanVoicedSegmentLengthSec","1"
"22","F0semitoneFrom27.5Hz_sma3nz_percentile20.0","2"
"23","F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2","2"
"24","F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope","2"
"25","F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope","2"
"26","loudness_sma3_meanFallingSlope","2"
"27","loudness_sma3_stddevFallingSlope","2"
"28","mfcc2_sma3_amean","2"
"29","shimmerLocaldB_sma3nz_amean","2"
"30","shimmerLocaldB_sma3nz_stddevNorm","2"
"31","HNRdBACF_sma3nz_amean","2"
"32","HNRdBACF_sma3nz_stddevNorm","2"
"33","logRelF0-H1-H2_sma3nz_amean","2"
"34","F1amplitudeLogRelF0_sma3nz_stddevNorm","2"
"35","F3frequency_sma3nz_amean","2"
"36","F3frequency_sma3nz_stddevNorm","2"
"37","F3bandwidth_sma3nz_stddevNorm","2"
"38","mfcc1V_sma3nz_amean","2"
"39","mfcc2V_sma3nz_amean","2"
"40","mfcc4V_sma3nz_amean","2"
"41","alphaRatioUV_sma3nz_amean","2"
"42","hammarbergIndexUV_sma3nz_amean","2"
"43","slopeUV0-500_sma3nz_amean","2"
"44","VoicedSegmentsPerSec","2"
"45","MeanVoicedSegmentLengthSec","2"
"46","F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2","3"
"47","F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope","3"
"48","mfcc2_sma3_amean","3"
"49","jitterLocal_sma3nz_stddevNorm","3"
"50","shimmerLocaldB_sma3nz_amean","3"
"51","shimmerLocaldB_sma3nz_stddevNorm","3"
"52","HNRdBACF_sma3nz_amean","3"
"53","HNRdBACF_sma3nz_stddevNorm","3"
"54","F3frequency_sma3nz_amean","3"
"55","F3frequency_sma3nz_stddevNorm","3"
"56","F3amplitudeLogRelF0_sma3nz_stddevNorm","3"
"57","spectralFluxV_sma3nz_stddevNorm","3"
"58","mfcc2V_sma3nz_amean","3"
"59","alphaRatioUV_sma3nz_amean","3"
"60","hammarbergIndexUV_sma3nz_amean","3"
"61","slopeUV0-500_sma3nz_amean","3"
"62","MeanVoicedSegmentLengthSec","3"
"63","F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope","4"
"64","F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope","4"
"65","loudness_sma3_stddevNorm","4"
"66","loudness_sma3_percentile50.0","4"
"67","loudness_sma3_stddevFallingSlope","4"
"68","spectralFlux_sma3_amean","4"
"69","mfcc2_sma3_amean","4"
"70","shimmerLocaldB_sma3nz_amean","4"
"71","shimmerLocaldB_sma3nz_stddevNorm","4"
"72","HNRdBACF_sma3nz_amean","4"
"73","HNRdBACF_sma3nz_stddevNorm","4"
"74","logRelF0-H1-H2_sma3nz_amean","4"
"75","F1bandwidth_sma3nz_stddevNorm","4"
"76","F1amplitudeLogRelF0_sma3nz_stddevNorm","4"
"77","F2frequency_sma3nz_amean","4"
"78","F2amplitudeLogRelF0_sma3nz_stddevNorm","4"
"79","F3frequency_sma3nz_stddevNorm","4"
"80","F3bandwidth_sma3nz_amean","4"
"81","F3bandwidth_sma3nz_stddevNorm","4"
"82","alphaRatioV_sma3nz_stddevNorm","4"
