"","features","fold"
"1","F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2","1"
"2","F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope","1"
"3","F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope","1"
"4","F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope","1"
"5","loudness_sma3_percentile20.0","1"
"6","loudness_sma3_percentile50.0","1"
"7","loudness_sma3_percentile80.0","1"
"8","loudness_sma3_meanRisingSlope","1"
"9","loudness_sma3_stddevRisingSlope","1"
"10","loudness_sma3_meanFallingSlope","1"
"11","loudness_sma3_stddevFallingSlope","1"
"12","spectralFlux_sma3_amean","1"
"13","mfcc1_sma3_amean","1"
"14","mfcc1_sma3_stddevNorm","1"
"15","mfcc2_sma3_amean","1"
"16","mfcc3_sma3_stddevNorm","1"
"17","mfcc4_sma3_amean","1"
"18","jitterLocal_sma3nz_amean","1"
"19","jitterLocal_sma3nz_stddevNorm","1"
"20","shimmerLocaldB_sma3nz_amean","1"
"21","shimmerLocaldB_sma3nz_stddevNorm","1"
"22","HNRdBACF_sma3nz_amean","1"
"23","HNRdBACF_sma3nz_stddevNorm","1"
"24","logRelF0-H1-H2_sma3nz_amean","1"
"25","logRelF0-H1-A3_sma3nz_amean","1"
"26","logRelF0-H1-A3_sma3nz_stddevNorm","1"
"27","F1frequency_sma3nz_stddevNorm","1"
"28","F1bandwidth_sma3nz_amean","1"
"29","F1amplitudeLogRelF0_sma3nz_amean","1"
"30","F2frequency_sma3nz_stddevNorm","1"
"31","F2bandwidth_sma3nz_stddevNorm","1"
"32","F2amplitudeLogRelF0_sma3nz_amean","1"
"33","F2amplitudeLogRelF0_sma3nz_stddevNorm","1"
"34","F3frequency_sma3nz_stddevNorm","1"
"35","F3bandwidth_sma3nz_amean","1"
"36","F3bandwidth_sma3nz_stddevNorm","1"
"37","F3amplitudeLogRelF0_sma3nz_amean","1"
"38","F3amplitudeLogRelF0_sma3nz_stddevNorm","1"
"39","hammarbergIndexV_sma3nz_stddevNorm","1"
"40","slopeV0-500_sma3nz_amean","1"
"41","slopeV500-1500_sma3nz_amean","1"
"42","spectralFluxV_sma3nz_amean","1"
"43","spectralFluxV_sma3nz_stddevNorm","1"
"44","mfcc1V_sma3nz_amean","1"
"45","mfcc1V_sma3nz_stddevNorm","1"
"46","mfcc3V_sma3nz_amean","1"
"47","mfcc4V_sma3nz_amean","1"
"48","alphaRatioUV_sma3nz_amean","1"
"49","hammarbergIndexUV_sma3nz_amean","1"
"50","slopeUV0-500_sma3nz_amean","1"
"51","spectralFluxUV_sma3nz_amean","1"
"52","loudnessPeaksPerSec","1"
"53","VoicedSegmentsPerSec","1"
"54","MeanVoicedSegmentLengthSec","1"
"55","StddevVoicedSegmentLengthSec","1"
"56","MeanUnvoicedSegmentLength","1"
"57","StddevUnvoicedSegmentLength","1"
"58","equivalentSoundLevel_dBp","1"
"59","F0semitoneFrom27.5Hz_sma3nz_amean","2"
"60","F0semitoneFrom27.5Hz_sma3nz_stddevNorm","2"
"61","F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2","2"
"62","F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope","2"
"63","F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope","2"
"64","F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope","2"
"65","loudness_sma3_percentile20.0","2"
"66","loudness_sma3_percentile50.0","2"
"67","loudness_sma3_meanRisingSlope","2"
"68","loudness_sma3_stddevRisingSlope","2"
"69","loudness_sma3_meanFallingSlope","2"
"70","spectralFlux_sma3_amean","2"
"71","spectralFlux_sma3_stddevNorm","2"
"72","mfcc1_sma3_amean","2"
"73","mfcc1_sma3_stddevNorm","2"
"74","mfcc2_sma3_amean","2"
"75","mfcc2_sma3_stddevNorm","2"
"76","mfcc3_sma3_amean","2"
"77","mfcc4_sma3_amean","2"
"78","jitterLocal_sma3nz_amean","2"
"79","jitterLocal_sma3nz_stddevNorm","2"
"80","shimmerLocaldB_sma3nz_stddevNorm","2"
"81","HNRdBACF_sma3nz_amean","2"
"82","HNRdBACF_sma3nz_stddevNorm","2"
"83","logRelF0-H1-H2_sma3nz_amean","2"
"84","logRelF0-H1-H2_sma3nz_stddevNorm","2"
"85","logRelF0-H1-A3_sma3nz_stddevNorm","2"
"86","F1frequency_sma3nz_amean","2"
"87","F1frequency_sma3nz_stddevNorm","2"
"88","F1bandwidth_sma3nz_amean","2"
"89","F1amplitudeLogRelF0_sma3nz_amean","2"
"90","F2frequency_sma3nz_amean","2"
"91","F2frequency_sma3nz_stddevNorm","2"
"92","F2bandwidth_sma3nz_amean","2"
"93","F2bandwidth_sma3nz_stddevNorm","2"
"94","F2amplitudeLogRelF0_sma3nz_amean","2"
"95","F2amplitudeLogRelF0_sma3nz_stddevNorm","2"
"96","F3frequency_sma3nz_stddevNorm","2"
"97","F3bandwidth_sma3nz_amean","2"
"98","F3amplitudeLogRelF0_sma3nz_amean","2"
"99","F3amplitudeLogRelF0_sma3nz_stddevNorm","2"
"100","alphaRatioV_sma3nz_amean","2"
"101","alphaRatioV_sma3nz_stddevNorm","2"
"102","hammarbergIndexV_sma3nz_amean","2"
"103","hammarbergIndexV_sma3nz_stddevNorm","2"
"104","slopeV0-500_sma3nz_amean","2"
"105","slopeV500-1500_sma3nz_amean","2"
"106","slopeV500-1500_sma3nz_stddevNorm","2"
"107","spectralFluxV_sma3nz_amean","2"
"108","spectralFluxV_sma3nz_stddevNorm","2"
"109","mfcc1V_sma3nz_amean","2"
"110","mfcc1V_sma3nz_stddevNorm","2"
"111","mfcc2V_sma3nz_amean","2"
"112","mfcc3V_sma3nz_amean","2"
"113","mfcc4V_sma3nz_amean","2"
"114","alphaRatioUV_sma3nz_amean","2"
"115","hammarbergIndexUV_sma3nz_amean","2"
"116","slopeUV0-500_sma3nz_amean","2"
"117","slopeUV500-1500_sma3nz_amean","2"
"118","spectralFluxUV_sma3nz_amean","2"
"119","loudnessPeaksPerSec","2"
"120","VoicedSegmentsPerSec","2"
"121","MeanVoicedSegmentLengthSec","2"
"122","StddevVoicedSegmentLengthSec","2"
"123","StddevUnvoicedSegmentLength","2"
"124","F0semitoneFrom27.5Hz_sma3nz_stddevNorm","3"
"125","F0semitoneFrom27.5Hz_sma3nz_percentile20.0","3"
"126","F0semitoneFrom27.5Hz_sma3nz_percentile50.0","3"
"127","F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2","3"
"128","F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope","3"
"129","F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope","3"
"130","F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope","3"
"131","F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope","3"
"132","loudness_sma3_amean","3"
"133","loudness_sma3_stddevNorm","3"
"134","loudness_sma3_percentile20.0","3"
"135","loudness_sma3_percentile80.0","3"
