"","features","fold"
"1","F0semitoneFrom27.5Hz_sma3nz_percentile80.0","1"
"2","F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope","1"
"3","F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope","1"
"4","F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope","1"
"5","loudness_sma3_amean","1"
"6","loudness_sma3_percentile20.0","1"
"7","loudness_sma3_percentile80.0","1"
"8","loudness_sma3_pctlrange0-2","1"
"9","loudness_sma3_meanRisingSlope","1"
"10","loudness_sma3_stddevRisingSlope","1"
"11","loudness_sma3_meanFallingSlope","1"
"12","loudness_sma3_stddevFallingSlope","1"
"13","mfcc2_sma3_amean","1"
"14","mfcc2_sma3_stddevNorm","1"
"15","mfcc3_sma3_amean","1"
"16","mfcc4_sma3_amean","1"
"17","mfcc4_sma3_stddevNorm","1"
"18","jitterLocal_sma3nz_amean","1"
"19","jitterLocal_sma3nz_stddevNorm","1"
"20","shimmerLocaldB_sma3nz_amean","1"
"21","shimmerLocaldB_sma3nz_stddevNorm","1"
"22","HNRdBACF_sma3nz_stddevNorm","1"
"23","logRelF0-H1-H2_sma3nz_stddevNorm","1"
"24","F1frequency_sma3nz_stddevNorm","1"
"25","F2bandwidth_sma3nz_amean","1"
"26","F2bandwidth_sma3nz_stddevNorm","1"
"27","F2amplitudeLogRelF0_sma3nz_stddevNorm","1"
"28","F3frequency_sma3nz_stddevNorm","1"
"29","F3bandwidth_sma3nz_amean","1"
"30","F3bandwidth_sma3nz_stddevNorm","1"
"31","F3amplitudeLogRelF0_sma3nz_stddevNorm","1"
"32","alphaRatioV_sma3nz_amean","1"
"33","alphaRatioV_sma3nz_stddevNorm","1"
"34","hammarbergIndexV_sma3nz_amean","1"
"35","slopeV0-500_sma3nz_amean","1"
"36","slopeV0-500_sma3nz_stddevNorm","1"
"37","slopeV500-1500_sma3nz_amean","1"
"38","slopeV500-1500_sma3nz_stddevNorm","1"
"39","spectralFluxV_sma3nz_stddevNorm","1"
"40","mfcc1V_sma3nz_amean","1"
"41","mfcc2V_sma3nz_amean","1"
"42","mfcc3V_sma3nz_amean","1"
"43","mfcc4V_sma3nz_amean","1"
"44","alphaRatioUV_sma3nz_amean","1"
"45","slopeUV0-500_sma3nz_amean","1"
"46","slopeUV500-1500_sma3nz_amean","1"
"47","loudnessPeaksPerSec","1"
"48","VoicedSegmentsPerSec","1"
"49","MeanVoicedSegmentLengthSec","1"
"50","StddevVoicedSegmentLengthSec","1"
"51","MeanUnvoicedSegmentLength","1"
"52","StddevUnvoicedSegmentLength","1"
"53","equivalentSoundLevel_dBp","1"
"54","F0semitoneFrom27.5Hz_sma3nz_stddevNorm","2"
"55","F0semitoneFrom27.5Hz_sma3nz_percentile50.0","2"
"56","F0semitoneFrom27.5Hz_sma3nz_percentile80.0","2"
"57","F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2","2"
"58","F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope","2"
"59","F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope","2"
"60","F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope","2"
"61","loudness_sma3_stddevNorm","2"
"62","loudness_sma3_percentile20.0","2"
"63","loudness_sma3_percentile50.0","2"
"64","loudness_sma3_percentile80.0","2"
"65","loudness_sma3_pctlrange0-2","2"
"66","loudness_sma3_meanRisingSlope","2"
"67","loudness_sma3_stddevRisingSlope","2"
"68","loudness_sma3_meanFallingSlope","2"
"69","loudness_sma3_stddevFallingSlope","2"
"70","spectralFlux_sma3_amean","2"
"71","mfcc1_sma3_amean","2"
"72","mfcc1_sma3_stddevNorm","2"
"73","mfcc2_sma3_stddevNorm","2"
"74","mfcc3_sma3_amean","2"
"75","mfcc3_sma3_stddevNorm","2"
"76","mfcc4_sma3_amean","2"
"77","mfcc4_sma3_stddevNorm","2"
"78","jitterLocal_sma3nz_amean","2"
"79","jitterLocal_sma3nz_stddevNorm","2"
"80","shimmerLocaldB_sma3nz_amean","2"
"81","shimmerLocaldB_sma3nz_stddevNorm","2"
"82","HNRdBACF_sma3nz_amean","2"
"83","HNRdBACF_sma3nz_stddevNorm","2"
"84","logRelF0-H1-H2_sma3nz_amean","2"
"85","logRelF0-H1-H2_sma3nz_stddevNorm","2"
"86","logRelF0-H1-A3_sma3nz_amean","2"
"87","logRelF0-H1-A3_sma3nz_stddevNorm","2"
"88","F1frequency_sma3nz_amean","2"
"89","F1frequency_sma3nz_stddevNorm","2"
"90","F1bandwidth_sma3nz_amean","2"
"91","F1bandwidth_sma3nz_stddevNorm","2"
"92","F1amplitudeLogRelF0_sma3nz_amean","2"
"93","F1amplitudeLogRelF0_sma3nz_stddevNorm","2"
"94","F2frequency_sma3nz_amean","2"
"95","F2bandwidth_sma3nz_amean","2"
"96","F2bandwidth_sma3nz_stddevNorm","2"
"97","F2amplitudeLogRelF0_sma3nz_amean","2"
"98","F2amplitudeLogRelF0_sma3nz_stddevNorm","2"
"99","F3frequency_sma3nz_stddevNorm","2"
"100","F3bandwidth_sma3nz_amean","2"
"101","F3bandwidth_sma3nz_stddevNorm","2"
"102","F3amplitudeLogRelF0_sma3nz_amean","2"
"103","F3amplitudeLogRelF0_sma3nz_stddevNorm","2"
"104","alphaRatioV_sma3nz_amean","2"
"105","alphaRatioV_sma3nz_stddevNorm","2"
"106","hammarbergIndexV_sma3nz_amean","2"
"107","hammarbergIndexV_sma3nz_stddevNorm","2"
"108","slopeV0-500_sma3nz_amean","2"
"109","slopeV500-1500_sma3nz_amean","2"
"110","slopeV500-1500_sma3nz_stddevNorm","2"
"111","spectralFluxV_sma3nz_amean","2"
"112","spectralFluxV_sma3nz_stddevNorm","2"
"113","mfcc1V_sma3nz_amean","2"
"114","mfcc1V_sma3nz_stddevNorm","2"
"115","mfcc2V_sma3nz_amean","2"
"116","mfcc2V_sma3nz_stddevNorm","2"
"117","mfcc3V_sma3nz_amean","2"
"118","mfcc4V_sma3nz_amean","2"
"119","hammarbergIndexUV_sma3nz_amean","2"
"120","slopeUV0-500_sma3nz_amean","2"
"121","slopeUV500-1500_sma3nz_amean","2"
"122","spectralFluxUV_sma3nz_amean","2"
"123","loudnessPeaksPerSec","2"
"124","VoicedSegmentsPerSec","2"
"125","MeanVoicedSegmentLengthSec","2"
"126","StddevVoicedSegmentLengthSec","2"
"127","MeanUnvoicedSegmentLength","2"
"128","StddevUnvoicedSegmentLength","2"
"129","equivalentSoundLevel_dBp","2"
"130","F0semitoneFrom27.5Hz_sma3nz_amean","3"
"131","F0semitoneFrom27.5Hz_sma3nz_stddevNorm","3"
"132","F0semitoneFrom27.5Hz_sma3nz_percentile20.0","3"
"133","F0semitoneFrom27.5Hz_sma3nz_percentile50.0","3"
"134","F0semitoneFrom27.5Hz_sma3nz_percentile80.0","3"
"135","F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2","3"
"136","F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope","3"
"137","F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope","3"
"138","F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope","3"
"139","loudness_sma3_amean","3"
"140","loudness_sma3_stddevNorm","3"
"141","loudness_sma3_percentile20.0","3"
"142","loudness_sma3_percentile50.0","3"
"143","loudness_sma3_percentile80.0","3"
"144","loudness_sma3_pctlrange0-2","3"
"145","loudness_sma3_meanRisingSlope","3"
"146","loudness_sma3_stddevRisingSlope","3"
"147","loudness_sma3_meanFallingSlope","3"
"148","loudness_sma3_stddevFallingSlope","3"
"149","spectralFlux_sma3_amean","3"
"150","spectralFlux_sma3_stddevNorm","3"
"151","mfcc1_sma3_amean","3"
"152","mfcc2_sma3_amean","3"
"153","mfcc2_sma3_stddevNorm","3"
"154","mfcc3_sma3_amean","3"
"155","mfcc3_sma3_stddevNorm","3"
"156","mfcc4_sma3_amean","3"
"157","mfcc4_sma3_stddevNorm","3"
"158","jitterLocal_sma3nz_amean","3"
"159","jitterLocal_sma3nz_stddevNorm","3"
"160","shimmerLocaldB_sma3nz_amean","3"
"161","shimmerLocaldB_sma3nz_stddevNorm","3"
"162","HNRdBACF_sma3nz_amean","3"
"163","HNRdBACF_sma3nz_stddevNorm","3"
"164","logRelF0-H1-H2_sma3nz_stddevNorm","3"
"165","logRelF0-H1-A3_sma3nz_amean","3"
"166","logRelF0-H1-A3_sma3nz_stddevNorm","3"
"167","F1frequency_sma3nz_amean","3"
"168","F1frequency_sma3nz_stddevNorm","3"
"169","F1bandwidth_sma3nz_amean","3"
"170","F1amplitudeLogRelF0_sma3nz_amean","3"
"171","F1amplitudeLogRelF0_sma3nz_stddevNorm","3"
"172","F2frequency_sma3nz_stddevNorm","3"
"173","F2bandwidth_sma3nz_amean","3"
"174","F2bandwidth_sma3nz_stddevNorm","3"
