"","features","fold"
"1","F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2","1"
"2","F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope","1"
"3","F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope","1"
"4","F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope","1"
"5","loudness_sma3_stddevNorm","1"
"6","loudness_sma3_meanRisingSlope","1"
"7","loudness_sma3_stddevRisingSlope","1"
"8","loudness_sma3_meanFallingSlope","1"
"9","loudness_sma3_stddevFallingSlope","1"
"10","spectralFlux_sma3_amean","1"
"11","mfcc2_sma3_amean","1"
"12","mfcc3_sma3_amean","1"
"13","jitterLocal_sma3nz_stddevNorm","1"
"14","shimmerLocaldB_sma3nz_stddevNorm","1"
"15","HNRdBACF_sma3nz_amean","1"
"16","HNRdBACF_sma3nz_stddevNorm","1"
"17","logRelF0-H1-H2_sma3nz_amean","1"
"18","F1bandwidth_sma3nz_stddevNorm","1"
"19","F2frequency_sma3nz_stddevNorm","1"
"20","F2amplitudeLogRelF0_sma3nz_stddevNorm","1"
"21","F3frequency_sma3nz_stddevNorm","1"
"22","F3bandwidth_sma3nz_stddevNorm","1"
"23","F3amplitudeLogRelF0_sma3nz_stddevNorm","1"
"24","spectralFluxV_sma3nz_stddevNorm","1"
"25","mfcc1V_sma3nz_amean","1"
"26","mfcc2V_sma3nz_amean","1"
"27","alphaRatioUV_sma3nz_amean","1"
"28","hammarbergIndexUV_sma3nz_amean","1"
"29","slopeUV0-500_sma3nz_amean","1"
"30","VoicedSegmentsPerSec","1"
"31","MeanVoicedSegmentLengthSec","1"
"32","StddevVoicedSegmentLengthSec","1"
"33","F0semitoneFrom27.5Hz_sma3nz_stddevNorm","2"
"34","F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2","2"
"35","F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope","2"
"36","F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope","2"
"37","loudness_sma3_percentile50.0","2"
"38","loudness_sma3_meanRisingSlope","2"
"39","loudness_sma3_stddevRisingSlope","2"
"40","loudness_sma3_meanFallingSlope","2"
"41","loudness_sma3_stddevFallingSlope","2"
"42","spectralFlux_sma3_amean","2"
"43","mfcc1_sma3_amean","2"
"44","mfcc2_sma3_amean","2"
"45","mfcc3_sma3_stddevNorm","2"
"46","jitterLocal_sma3nz_stddevNorm","2"
"47","shimmerLocaldB_sma3nz_stddevNorm","2"
"48","HNRdBACF_sma3nz_amean","2"
"49","HNRdBACF_sma3nz_stddevNorm","2"
"50","logRelF0-H1-H2_sma3nz_amean","2"
"51","F1amplitudeLogRelF0_sma3nz_stddevNorm","2"
"52","F2amplitudeLogRelF0_sma3nz_stddevNorm","2"
"53","F3frequency_sma3nz_stddevNorm","2"
"54","F3bandwidth_sma3nz_stddevNorm","2"
"55","F3amplitudeLogRelF0_sma3nz_stddevNorm","2"
"56","slopeV0-500_sma3nz_amean","2"
"57","spectralFluxV_sma3nz_stddevNorm","2"
"58","mfcc1V_sma3nz_amean","2"
"59","mfcc2V_sma3nz_amean","2"
"60","mfcc4V_sma3nz_amean","2"
"61","alphaRatioUV_sma3nz_amean","2"
"62","hammarbergIndexUV_sma3nz_amean","2"
"63","slopeUV0-500_sma3nz_amean","2"
"64","slopeUV500-1500_sma3nz_amean","2"
"65","loudnessPeaksPerSec","2"
"66","VoicedSegmentsPerSec","2"
"67","MeanVoicedSegmentLengthSec","2"
"68","StddevVoicedSegmentLengthSec","2"
"69","F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2","3"
"70","F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope","3"
"71","F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope","3"
"72","loudness_sma3_percentile20.0","3"
"73","loudness_sma3_percentile50.0","3"
"74","spectralFlux_sma3_amean","3"
"75","mfcc2_sma3_amean","3"
"76","mfcc3_sma3_amean","3"
"77","jitterLocal_sma3nz_stddevNorm","3"
"78","shimmerLocaldB_sma3nz_stddevNorm","3"
"79","HNRdBACF_sma3nz_amean","3"
"80","HNRdBACF_sma3nz_stddevNorm","3"
"81","logRelF0-H1-H2_sma3nz_amean","3"
"82","spectralFluxV_sma3nz_amean","3"
"83","spectralFluxV_sma3nz_stddevNorm","3"
"84","mfcc2V_sma3nz_amean","3"
"85","alphaRatioUV_sma3nz_amean","3"
"86","hammarbergIndexUV_sma3nz_amean","3"
"87","slopeUV0-500_sma3nz_amean","3"
"88","StddevVoicedSegmentLengthSec","3"
"89","F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope","4"
"90","F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope","4"
"91","F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope","4"
"92","loudness_sma3_stddevNorm","4"
"93","loudness_sma3_percentile20.0","4"
"94","loudness_sma3_percentile50.0","4"
"95","loudness_sma3_meanRisingSlope","4"
"96","loudness_sma3_stddevRisingSlope","4"
"97","loudness_sma3_meanFallingSlope","4"
"98","loudness_sma3_stddevFallingSlope","4"
"99","spectralFlux_sma3_amean","4"
"100","mfcc2_sma3_amean","4"
"101","mfcc3_sma3_amean","4"
"102","jitterLocal_sma3nz_stddevNorm","4"
"103","shimmerLocaldB_sma3nz_stddevNorm","4"
"104","HNRdBACF_sma3nz_amean","4"
"105","HNRdBACF_sma3nz_stddevNorm","4"
"106","logRelF0-H1-H2_sma3nz_amean","4"
"107","F1bandwidth_sma3nz_stddevNorm","4"
"108","F2bandwidth_sma3nz_stddevNorm","4"
"109","F2amplitudeLogRelF0_sma3nz_stddevNorm","4"
"110","F3frequency_sma3nz_stddevNorm","4"
"111","F3bandwidth_sma3nz_amean","4"
"112","F3bandwidth_sma3nz_stddevNorm","4"
"113","alphaRatioV_sma3nz_stddevNorm","4"
"114","hammarbergIndexV_sma3nz_stddevNorm","4"
"115","spectralFluxV_sma3nz_amean","4"
"116","spectralFluxV_sma3nz_stddevNorm","4"
"117","mfcc1V_sma3nz_amean","4"
"118","mfcc1V_sma3nz_stddevNorm","4"
"119","mfcc2V_sma3nz_amean","4"
"120","mfcc4V_sma3nz_amean","4"
"121","alphaRatioUV_sma3nz_amean","4"
"122","hammarbergIndexUV_sma3nz_amean","4"
"123","slopeUV0-500_sma3nz_amean","4"
"124","VoicedSegmentsPerSec","4"
"125","MeanVoicedSegmentLengthSec","4"
"126","StddevVoicedSegmentLengthSec","4"
"127","F0semitoneFrom27.5Hz_sma3nz_stddevNorm","5"
"128","F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2","5"
"129","F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope","5"
"130","F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope","5"
"131","F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope","5"
"132","loudness_sma3_percentile50.0","5"
"133","loudness_sma3_meanRisingSlope","5"
"134","loudness_sma3_stddevRisingSlope","5"
