"","features","fold"
"1","F0semitoneFrom27.5Hz_sma3nz_stddevNorm","1"
"2","F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2","1"
"3","F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope","1"
"4","F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope","1"
"5","F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope","1"
"6","F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope","1"
"7","loudness_sma3_percentile20.0","1"
"8","loudness_sma3_percentile50.0","1"
"9","loudness_sma3_percentile80.0","1"
"10","loudness_sma3_meanRisingSlope","1"
"11","loudness_sma3_stddevRisingSlope","1"
"12","loudness_sma3_meanFallingSlope","1"
"13","loudness_sma3_stddevFallingSlope","1"
"14","spectralFlux_sma3_amean","1"
"15","mfcc1_sma3_amean","1"
"16","mfcc1_sma3_stddevNorm","1"
"17","mfcc2_sma3_amean","1"
"18","mfcc3_sma3_stddevNorm","1"
"19","mfcc4_sma3_amean","1"
"20","jitterLocal_sma3nz_amean","1"
"21","jitterLocal_sma3nz_stddevNorm","1"
"22","shimmerLocaldB_sma3nz_amean","1"
"23","shimmerLocaldB_sma3nz_stddevNorm","1"
"24","HNRdBACF_sma3nz_amean","1"
"25","HNRdBACF_sma3nz_stddevNorm","1"
"26","logRelF0-H1-H2_sma3nz_amean","1"
"27","logRelF0-H1-A3_sma3nz_amean","1"
"28","logRelF0-H1-A3_sma3nz_stddevNorm","1"
"29","F1frequency_sma3nz_stddevNorm","1"
"30","F1bandwidth_sma3nz_amean","1"
"31","F1bandwidth_sma3nz_stddevNorm","1"
"32","F1amplitudeLogRelF0_sma3nz_amean","1"
"33","F2frequency_sma3nz_amean","1"
"34","F2frequency_sma3nz_stddevNorm","1"
"35","F2bandwidth_sma3nz_stddevNorm","1"
"36","F2amplitudeLogRelF0_sma3nz_amean","1"
"37","F2amplitudeLogRelF0_sma3nz_stddevNorm","1"
"38","F3frequency_sma3nz_stddevNorm","1"
"39","F3bandwidth_sma3nz_amean","1"
"40","F3bandwidth_sma3nz_stddevNorm","1"
"41","F3amplitudeLogRelF0_sma3nz_amean","1"
"42","F3amplitudeLogRelF0_sma3nz_stddevNorm","1"
"43","alphaRatioV_sma3nz_stddevNorm","1"
"44","hammarbergIndexV_sma3nz_stddevNorm","1"
"45","slopeV0-500_sma3nz_amean","1"
"46","slopeV500-1500_sma3nz_amean","1"
"47","spectralFluxV_sma3nz_amean","1"
"48","spectralFluxV_sma3nz_stddevNorm","1"
"49","mfcc1V_sma3nz_amean","1"
"50","mfcc1V_sma3nz_stddevNorm","1"
"51","mfcc3V_sma3nz_amean","1"
"52","mfcc4V_sma3nz_amean","1"
"53","alphaRatioUV_sma3nz_amean","1"
"54","hammarbergIndexUV_sma3nz_amean","1"
"55","slopeUV0-500_sma3nz_amean","1"
"56","spectralFluxUV_sma3nz_amean","1"
"57","loudnessPeaksPerSec","1"
"58","VoicedSegmentsPerSec","1"
"59","MeanVoicedSegmentLengthSec","1"
"60","StddevVoicedSegmentLengthSec","1"
"61","MeanUnvoicedSegmentLength","1"
"62","StddevUnvoicedSegmentLength","1"
"63","equivalentSoundLevel_dBp","1"
"64","F0semitoneFrom27.5Hz_sma3nz_amean","2"
"65","F0semitoneFrom27.5Hz_sma3nz_stddevNorm","2"
"66","F0semitoneFrom27.5Hz_sma3nz_percentile80.0","2"
"67","F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2","2"
"68","F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope","2"
"69","F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope","2"
"70","F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope","2"
"71","loudness_sma3_percentile20.0","2"
"72","loudness_sma3_percentile50.0","2"
"73","loudness_sma3_pctlrange0-2","2"
"74","loudness_sma3_meanRisingSlope","2"
"75","loudness_sma3_stddevRisingSlope","2"
"76","loudness_sma3_meanFallingSlope","2"
"77","spectralFlux_sma3_amean","2"
"78","spectralFlux_sma3_stddevNorm","2"
"79","mfcc1_sma3_amean","2"
"80","mfcc1_sma3_stddevNorm","2"
"81","mfcc2_sma3_amean","2"
"82","mfcc2_sma3_stddevNorm","2"
"83","mfcc3_sma3_amean","2"
"84","mfcc4_sma3_amean","2"
"85","jitterLocal_sma3nz_amean","2"
"86","jitterLocal_sma3nz_stddevNorm","2"
"87","shimmerLocaldB_sma3nz_stddevNorm","2"
"88","HNRdBACF_sma3nz_amean","2"
