"","features","fold"
"1","F0semitoneFrom27.5Hz_sma3nz_percentile20.0","1"
"2","F0semitoneFrom27.5Hz_sma3nz_percentile80.0","1"
"3","F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope","1"
"4","F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope","1"
"5","F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope","1"
"6","loudness_sma3_amean","1"
"7","loudness_sma3_percentile20.0","1"
"8","loudness_sma3_percentile80.0","1"
"9","loudness_sma3_pctlrange0-2","1"
"10","loudness_sma3_meanRisingSlope","1"
"11","loudness_sma3_stddevRisingSlope","1"
"12","loudness_sma3_meanFallingSlope","1"
"13","loudness_sma3_stddevFallingSlope","1"
"14","mfcc2_sma3_amean","1"
"15","mfcc2_sma3_stddevNorm","1"
"16","mfcc3_sma3_amean","1"
"17","mfcc4_sma3_amean","1"
"18","mfcc4_sma3_stddevNorm","1"
"19","jitterLocal_sma3nz_amean","1"
"20","jitterLocal_sma3nz_stddevNorm","1"
"21","shimmerLocaldB_sma3nz_amean","1"
"22","shimmerLocaldB_sma3nz_stddevNorm","1"
"23","HNRdBACF_sma3nz_stddevNorm","1"
"24","logRelF0-H1-H2_sma3nz_stddevNorm","1"
"25","F1frequency_sma3nz_stddevNorm","1"
"26","F2bandwidth_sma3nz_amean","1"
"27","F2bandwidth_sma3nz_stddevNorm","1"
"28","F2amplitudeLogRelF0_sma3nz_stddevNorm","1"
"29","F3frequency_sma3nz_stddevNorm","1"
"30","F3bandwidth_sma3nz_amean","1"
"31","F3bandwidth_sma3nz_stddevNorm","1"
"32","F3amplitudeLogRelF0_sma3nz_stddevNorm","1"
"33","alphaRatioV_sma3nz_amean","1"
"34","alphaRatioV_sma3nz_stddevNorm","1"
"35","hammarbergIndexV_sma3nz_amean","1"
"36","slopeV0-500_sma3nz_amean","1"
"37","slopeV0-500_sma3nz_stddevNorm","1"
"38","slopeV500-1500_sma3nz_amean","1"
"39","slopeV500-1500_sma3nz_stddevNorm","1"
"40","spectralFluxV_sma3nz_stddevNorm","1"
"41","mfcc1V_sma3nz_amean","1"
"42","mfcc2V_sma3nz_amean","1"
"43","mfcc3V_sma3nz_amean","1"
"44","mfcc4V_sma3nz_amean","1"
"45","alphaRatioUV_sma3nz_amean","1"
"46","slopeUV0-500_sma3nz_amean","1"
"47","slopeUV500-1500_sma3nz_amean","1"
"48","loudnessPeaksPerSec","1"
"49","VoicedSegmentsPerSec","1"
"50","MeanVoicedSegmentLengthSec","1"
"51","StddevVoicedSegmentLengthSec","1"
"52","MeanUnvoicedSegmentLength","1"
"53","StddevUnvoicedSegmentLength","1"
"54","equivalentSoundLevel_dBp","1"
"55","F0semitoneFrom27.5Hz_sma3nz_stddevNorm","2"
"56","F0semitoneFrom27.5Hz_sma3nz_percentile50.0","2"
"57","F0semitoneFrom27.5Hz_sma3nz_percentile80.0","2"
"58","F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2","2"
"59","F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope","2"
"60","F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope","2"
"61","F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope","2"
"62","loudness_sma3_stddevNorm","2"
"63","loudness_sma3_percentile20.0","2"
"64","loudness_sma3_percentile50.0","2"
"65","loudness_sma3_percentile80.0","2"
"66","loudness_sma3_pctlrange0-2","2"
"67","loudness_sma3_meanRisingSlope","2"
